"nom","prenom","nomOrthographeAutochtone","biographieCourte","nationalites","peuplesAutochtones","anneeNaissance","anneeDeces","lieuNaissance","lieuDeces","genre","groupeArtistes","groupeArtistesId","oeuvres","oeuvresId","evenements","evenementsId","publications","publicationsId","id"
"Abbott","Berenice","","Springfield (Ohio), États-Unis, 1898 - Monson (Maine), États-Unis, 1991","Américaine","","1898","1991","Springfield (Ohio), États-Unis","Monson (Maine), États-Unis","Féminin","","","Berenice Abbott : New York Stock Exchange, vers 1930, tirage postérieur","new-york-stock-exchange","Les vingt ans du Musée à travers sa collection, 1985-01-27 → 1985-04-21 [Exposition – collection] | Photographes du XXe siècle : Stieglitz, Steichen et leurs successeurs, 1978-12-14 → 1979-01-14 [Exposition – temporaire] | La Photographie de 1900 à 1950, 1978-08-03 → 1978-09-03 [Exposition – collection (itinérante)] | La Photographie au XXe siècle : cinétisme et environnement, 1968-02-01 → 1968-02-18 [Exposition – temporaire]","les-vingt-ans-du-musee-a-travers-sa-collection | photographes-du-xxe-siecle-stieglitz-steichen-et-leurs | la-photographie-de-1900-a-1950 | la-photographie-au-xxe-siecle-cinetisme-et-environnement","Les Vingt ans du Musée à travers sa collection, 1985 [Catalogue] | La photographie de 1900 à 1950, 1978 [Catalogue]","les-vingt-ans-du-musee-a-travers-sa-collection | la-photographie-de-1900-a-1950","abbott-berenice"
"Abramovic","Marina","","Naissance à Belgrade, Yougoslavie, en 1946","Yougoslave","","1946","","Belgrade, Yougoslavie","","Féminin","Abramovic et Ulay","abramovic-et-ulay","Marina Abramovic : Self Portrait with Skeleton, 2003","self-portrait-with-skeleton","60 œuvres, 60 dons, 2024-06-01 → 2025-01-31 [Affichage – temporaire] | Leonard Cohen : Une brèche en toute chose [exposition virtuelle], 2021-02-15 → 2024-02-12 [Exposition virtuelle] | La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014-06-19 → 2014-09-07 [Exposition – collection] | Déjà – Grand déploiement de la collection, 2011-05-26 → 2011-09-04 [Exposition – collection] | Actes de présence, 2010-11-04 → 2011-03-27 [Exposition – collection] | L’Œil du collectionneur, 1996-10-18 → 1997-01-05 [Exposition – temporaire] | Abramovic/Ulay : Modus Vivendi, 1985, 1993-04-21 [Rencontre] | La Collection : second tableau, 1992-10-14 → 1993-04-15 [Exposition – collection] | La Collection : tableau inaugural, 1992-05-28 → 1994-04-03 [Exposition – collection] | Boat Emptying Stream Entering, 1991-02-24 [Performance] | The Lovers : La Marche sur la Grande Muraille, 1991-02-24 → 1991-04-21 [Exposition – temporaire] | Marina Abramović/Ulay, 1991-02-22 [Conférence / débat] | The Arts for Television, 1989-01-18 → 1989-04-02 [Exposition – temporaire]","60-oeuvres-60-dons | leonard-cohen-une-breche-en-toute-chose-2021-02-15 | la-beaute-du-geste-50-ans-de-dons-au-musee-d-art-contemporain | deja-grand-deploiement-de-la-collection | actes-de-presence | l-oeil-du-collectionneur | abramoviculay-modus-vivendi-1985 | la-collection-second-tableau | la-collection-tableau-inaugural | boat-emptying-stream-entering | the-lovers-la-marche-sur-la-grande-muraille | marina-abramoviculay | the-arts-for-television","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014 [Catalogue] | L’œil du Collectionneur, 1996 [Catalogue] | La Collection : Tableau inaugural, 1992 [Catalogue] | The Lovers : La marche sur la Grande Muraille, 1991 [Catalogue] | The Arts for Television, 1989 [Catalogue]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art | l-oeil-du-collectionneur | la-collection-tableau-inaugural | the-lovers-la-marche-sur-la-grande-muraille | the-arts-for-television","abramovic-marina"
"Abramovic et Ulay","","","Collectif actif de 1976 à 1988","Yougoslave; Allemande","","1976","1988","Amsterdam, Pays-Bas","","Collectif","Marina Abramovic | Ulay","abramovic-marina | ulay","Abramovic et Ulay : Saturday, 1986 | Abramovic et Ulay : Modus vivendi, 1985","saturday | modus-vivendi","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014-06-19 → 2014-09-07 [Exposition – collection] | Déjà – Grand déploiement de la collection, 2011-05-26 → 2011-09-04 [Exposition – collection] | La Collection : second tableau, 1992-10-14 → 1993-04-15 [Exposition – collection] | Livres d’artistes, 1982-01-08 → 1982-02-28 [Exposition – temporaire]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art-contemporain | deja-grand-deploiement-de-la-collection | la-collection-second-tableau | livres-d-artistes","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014 [Catalogue] | La Collection : Tableau inaugural, 1992 [Catalogue]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art | la-collection-tableau-inaugural","abramovic-et-ulay"
"Adam","Henri Georges","","Paris, France, 1904 - Perros-Guirec, France, 1967","Française","","1904","1967","Paris, France","Perros-Guirec, France","Masculin","","","Henri Georges Adam et al. : Hommage à Rodin, 1967","hommage-a-rodin","","","","","adam-henri-georges"
"Adami","Valerio","","Naissance à Bologne, Italie, en 1935","Italienne","","1935","","Bologne, Italie","","Masculin","","","Valerio Adami : Sans titre, 1974 | Valerio Adami : Jan Harlow, 1972","sans-titre-88-87 | jan-harlow","Une histoire de collections : Dons 1984-1989, 1989-04-12 → 1989-06-04 [Exposition – collection] | Le Disque, médium artistique : du futurisme à l’art conceptuel, 1978-09-07 → 1978-10-22 [Exposition – temporaire]","une-histoire-de-collections-dons-1984-1989 | le-disque-medium-artistique-du-futurisme-a-l-art-conceptuel","Une histoire de collections : dons 1984-1989, 1989 [Catalogue]","une-histoire-de-collections-dons-1984-1989","adami-valerio"
"Adams","Ansel","","San Francisco (Californie), États-Unis, 1902 - Carmel (Californie), États-Unis, 1984","Américaine","","1902","1984","San Francisco (Californie), États-Unis","Carmel (Californie), États-Unis","Masculin","","","Ansel Adams : Moonrise, Hernandez, New Mexico, 1941, tirage de 1965","moonrise-hernandez-new-mexico","La Collection : tableau inaugural, 1992-05-28 → 1994-04-03 [Exposition – collection] | Les vingt ans du Musée à travers sa collection, 1985-01-27 → 1985-04-21 [Exposition – collection] | Les choix de l’œil : la photographie depuis 1940, 1981-11-12 → 1982-01-03 [Exposition – collection (itinérante)] | Photographes du XXe siècle : Stieglitz, Steichen et leurs successeurs, 1978-12-14 → 1979-01-14 [Exposition – temporaire] | La Photographie au XXe siècle : cinétisme et environnement, 1968-02-01 → 1968-02-18 [Exposition – temporaire]","la-collection-tableau-inaugural | les-vingt-ans-du-musee-a-travers-sa-collection | les-choix-de-l-oeil-la-photographie-depuis-1940 | photographes-du-xxe-siecle-stieglitz-steichen-et-leurs | la-photographie-au-xxe-siecle-cinetisme-et-environnement","La Collection : Tableau inaugural, 1992 [Catalogue] | Les Vingt ans du Musée à travers sa collection, 1985 [Catalogue] | Les Choix de l’œil : la photographie depuis 1940, 1982 [Catalogue]","la-collection-tableau-inaugural | les-vingt-ans-du-musee-a-travers-sa-collection | les-choix-de-l-oeil-la-photographie-depuis-1940","adams-ansel"
"Adams","Dennis","","Naissance à Des Moines (Iowa), États-Unis, en 1948","Américaine","","1948","","Des Moines (Iowa), États-Unis","","Masculin","","","Dennis Adams : Réservoir, 1992","reservoir","Dons 1989-1994, 1995-04-28 → 1995-10-29 [Exposition – collection] | Pour la suite du Monde, 1992-05-26 → 1992-10-11 [Exposition – temporaire] | Dennis Adams, 1991-05-10 [Conférence / débat] | Tenir l’image à distance, 1989-06-15 → 1989-09-03 [Exposition – temporaire]","dons-1989-1994 | pour-la-suite-du-monde | dennis-adams | tenir-l-image-a-distance","Dons 1989-1994, 1995 [Catalogue] | Pour la suite du monde, 1992 [Catalogue] | Pour la suite du Monde : cahier : propos et projets, 1992 [Catalogue] | Tenir l’image à distance, 1989 [Catalogue]","dons-1989-1994 | pour-la-suite-du-monde | pour-la-suite-du-monde-cahier-propos | tenir-l-image-a-distance","adams-dennis"
"Adams","Kim","","Naissance à Edmonton (Alberta), Canada, en 1951","Canadienne","","1951","","Edmonton (Alberta), Canada","","Masculin","","","Kim Adams : Beaver Casino, 1998 | Kim Adams : Beaver Casino Hotel, 1998 | Kim Adams : The Gift Tractor, 1998 | Kim Adams : Munster 2007, 1998 | Kim Adams : Parkade, 1998 | Kim Adams : Streetworks, 1998 | Kim Adams : Dash-Hound, 1995-1996 | Kim Adams : Model: Dedicated to Robert Smithson and Gordon Matta-Clark, 1995 | Kim Adams : Model: Street Game, 1993 | Kim Adams : Model: Chameleon Unit, 1988 | Kim Adams : Model: Decoy Homes, 1987","beaver-casino | beaver-casino-hotel | the-gift-tractor | munster-2007 | parkade | streetworks | dash-hound | model-dedicated-to-robert-smithson-and-gordon | model-street-game | model-chameleon-unit | model-decoy-homes","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014-06-19 → 2014-09-07 [Exposition – collection] | Artcité – Quand Montréal devient Musée, 2001-08-10 → 2001-10-08 [Exposition – collection] | Culbutes. Œuvre d’impertinence, 1999-11-18 → 2000-04-23 [Exposition – temporaire] | Kim Adams, 1996-02-02 → 1996-04-07 [Exposition – temporaire] | Kim Adams, 1996-02-01 [Rencontre]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art-contemporain | artcite-quand-montreal-devient-musee | culbutes-oeuvre-d-impertinence | kim-adams | kim-adams-1996-02-01","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014 [Catalogue] | Artcité : Quand Montréal devient Musée, 2001 [Catalogue] | Culbutes : œuvre d’impertinence, 1999 [Catalogue] | Kim Adams, 1996 [Catalogue]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art | artcite-quand-montreal-devient-musee | culbutes-oeuvre-d-impertinence | kim-adams","adams-kim"
"Adams","Robert","","Naissance à Orange (New Jersey), États-Unis, en 1937","Américaine","","1937","","Orange (New Jersey), États-Unis","","Masculin","","","Robert Adams : Newly Completed Tract House, Colorado Springs, 1968","newly-completed-tract-house-colorado","Les choix de l’œil : la photographie depuis 1940, 1981-11-12 → 1982-01-03 [Exposition – collection (itinérante)]","les-choix-de-l-oeil-la-photographie-depuis-1940","Les Choix de l’œil : la photographie depuis 1940, 1982 [Catalogue]","les-choix-de-l-oeil-la-photographie-depuis-1940","adams-robert"
"Ado","","","Tokyo, Japon, 1936 - Paris, France, 1994","Japonaise","","1936","1994","Tokyo, Japon","Paris, France","Masculin","","","Ado : Je disparus, 1971","je-disparus","La Collection permanente, 1965-1975, 1975-06-22 → 1975-07-20 [Exposition – collection]","la-collection-permanente-1965-1975","","","ado"
