"libelleNomsArtistes","numero","titre","dateProduction","categorie","materiaux","dimensions","lieuProduction","emplacementOeuvresDansLaVille","provenance","collection","departement","dateAcquisition","oeuvrePrincipale","oeuvrePrincipaleId","elements","elementsId","nomsArtistesTries","artistes","artistesId","evenements","evenementsId","publications","publicationsId","images","id"
"Henri Georges Adam","A 67 7 G 5 (1)","Hommage à Rodin - Cathédrale (tirée de l’album « Hommage à Rodin », 1967)","1967","Estampe","Eau-forte, 51/120","76,2 x 56,5 cm","Paris, France","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1967","Henri Georges Adam et al. : Hommage à Rodin, 1967","hommage-a-rodin","","","Adam, Henri Georges","Henri Georges Adam","adam-henri-georges","","","","","https://macrepertoire.macm.org/kit/a-67-7-g-5-1/","hommage-a-rodin-cathedrale-hommage-a-rodin"
"Alexander Archipenko","A 79 97 S 1","Eroica","vers 1930","Sculpture","Terre cuite","49 x 33 x 20 cm","","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1979","","","","","Archipenko, Alexander","Alexander Archipenko","archipenko-alexander","L’Œil et l’esprit : Point de vue de Geneviève Cadieux sur la Collection, 2015-04-02 → 2016-04-17 [Exposition – collection] | Acquisitions récentes, 1979-03-08 → 1979-04-22 [Exposition – collection]","l-oeil-et-l-esprit-point-de-vue-de-genevieve-cadieux | acquisitions-recentes-1979-03-08","Le Magazine du Musée d’art contemporain de Montréal, 2015 [Journal]","le-magazine-du-musee-d-art-contemporain-de-montreal_2015-1","https://macrepertoire.macm.org/kit/a-79-97-s-1/","eroica"
"Hans Arp","D 74 52 S 1","Mangeur de la rose","1963","Sculpture","Marbre","14,5 x 15 x 18,5 cm","Meudon-Val-Fleury, France","","Don du docteur Max Stern","Collection Musée d’art contemporain de Montréal","Art contemporain international","1974","","","","","Arp, Hans","Hans Arp","arp-hans","L’Œil et l’esprit : Point de vue de Geneviève Cadieux sur la Collection, 2015-04-02 → 2016-04-17 [Exposition – collection] | Point, Ligne, Plan, 1986-01-26 → 1986-03-16 [Exposition – collection] | Don Stern, 1984-01-19 → 1984-02-28 [Exposition – collection] | Petits formats de la collection, 1978-05-18 → 1978-06-18 [Exposition – collection] | La Collection permanente, 1965-1975, 1975-06-22 → 1975-07-20 [Exposition – collection]","l-oeil-et-l-esprit-point-de-vue-de-genevieve-cadieux | point-ligne-plan | don-stern | petits-formats-de-la-collection | la-collection-permanente-1965-1975","Le Magazine du Musée d’art contemporain de Montréal, 2015 [Journal]","le-magazine-du-musee-d-art-contemporain-de-montreal_2015-1","https://macrepertoire.macm.org/kit/d-74-52-s-1/","mangeur-de-la-rose"
"Hans Arp","D 76 24 S 1","Apparat d’une danse","1960","Sculpture","Bronze, 2/3","117,8 x 76 x 10,5 cm (œuvre), 13,5 x 55,2 x 29,5 cm (base)","Meudon-Val-Fleury, France","","Don de monsieur H. Arnold Steinberg","Collection Musée d’art contemporain de Montréal","Art contemporain international","1976","","","","","Arp, Hans","Hans Arp","arp-hans","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014-06-19 → 2014-09-07 [Exposition – collection] | Œuvres phares : peintures et sculptures majeures, 1996-05-17 → 1996-10-20 [Exposition – collection] | La Collection : tableau inaugural, 1992-05-28 → 1994-04-03 [Exposition – collection] | Les vingt ans du Musée à travers sa collection, 1985-01-27 → 1985-04-21 [Exposition – collection] | La Collection permanente du Musée, 1980-06-19 → 1980-08-03 [Exposition – collection] | Sculptures de la collection, 1978-10-26 → 1978-11-05 [Exposition – collection]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art-contemporain | oeuvres-phares-peintures-et-sculptures-majeures | la-collection-tableau-inaugural | les-vingt-ans-du-musee-a-travers-sa-collection | la-collection-permanente-du-musee | sculptures-de-la-collection","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014 [Catalogue] | La Collection : Tableau inaugural, 1992 [Catalogue] | Les Vingt ans du Musée à travers sa collection, 1985 [Catalogue]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art | la-collection-tableau-inaugural | les-vingt-ans-du-musee-a-travers-sa-collection","https://macrepertoire.macm.org/kit/d-76-24-s-1/","apparat-d-une-danse"
"Hans Arp","D 85 41 S 1","Cœur de fruit","1960","Sculpture","Bronze, 2/5","35,5 x 44 x 8,5 cm","Meudon-Val-Fleury, France","","Don du docteur Max Stern","Collection Musée d’art contemporain de Montréal","Art contemporain international","1985","","","","","Arp, Hans","Hans Arp","arp-hans","","","","","https://macrepertoire.macm.org/kit/d-85-41-s-1/","coeur-de-fruit"
"Hans Arp","D 80 83 TAP 1","Conférence au sommet","1958","Fibre/Papier-matière","Haute-lisse, laine","152,1 x 204,7 cm","","","Don de monsieur Peter Molson","Collection Musée d’art contemporain de Montréal","Art contemporain international","1980","","","","","Arp, Hans","Hans Arp","arp-hans","L’État du monde, 2017-03-17 → 2017-08-20 [Exposition – collection] | La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014-06-19 → 2014-09-07 [Exposition – collection]","l-etat-du-monde | la-beaute-du-geste-50-ans-de-dons-au-musee-d-art-contemporain","","","https://macrepertoire.macm.org/kit/d-80-83-tap-1/","conference-au-sommet"
"Hans Arp","A 64 35 G 1","Composition","vers 1950","Estampe","Sérigraphie, 57/200","65,2 x 47,7 cm","Meudon-Val-Fleury, France","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1964","","","","","Arp, Hans","Hans Arp","arp-hans","L’Œil et l’esprit : Point de vue de Geneviève Cadieux sur la Collection, 2015-04-02 → 2016-04-17 [Exposition – collection] | Point, Ligne, Plan, 1986-01-26 → 1986-03-16 [Exposition – collection] | La collection permanente : œuvres internationales sur papier 1914-1980, 1980-08-22 → 1980-10-12 [Exposition – collection] | Gravures québécoises et internationales de la collection, 1979-01-18 → 1979-03-04 [Exposition – collection] | La Collection permanente, 1965-1975, 1975-06-22 → 1975-07-20 [Exposition – collection]","l-oeil-et-l-esprit-point-de-vue-de-genevieve-cadieux | point-ligne-plan | la-collection-permanente-oeuvres-internationales-sur-papier | gravures-quebecoises-et-internationales-de-la-collection | la-collection-permanente-1965-1975","Le Magazine du Musée d’art contemporain de Montréal, 2015 [Journal]","le-magazine-du-musee-d-art-contemporain-de-montreal_2015-1","https://macrepertoire.macm.org/kit/a-64-35-g-1/","composition"
"Hans Arp","D 72 1 S 1","Figure mythique","1950","Sculpture","Plâtre","113 x 40 x 37,5 cm","Meudon-Val-Fleury, France","","Don de madame Hans Arp et de madame et monsieur Max Stern","Collection Musée d’art contemporain de Montréal","Art contemporain international","1972","","","","","Arp, Hans","Hans Arp","arp-hans","Entre le soi et l’autre, 2017-03-16 → 2017-08-20 [Exposition – collection] | La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014-06-19 → 2014-09-07 [Exposition – collection] | La Collection, 1995-11-18 → 1996-04-21 [Exposition – collection] | Don Stern, 1984-01-19 → 1984-02-28 [Exposition – collection] | Sculptures de la collection, 1978-10-26 → 1978-11-05 [Exposition – collection] | La Collection permanente, 1965-1975, 1975-06-22 → 1975-07-20 [Exposition – collection]","entre-le-soi-et-l-autre | la-beaute-du-geste-50-ans-de-dons-au-musee-d-art-contemporain | la-collection-1995-11-18 | don-stern | sculptures-de-la-collection | la-collection-permanente-1965-1975","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014 [Catalogue]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art","https://macrepertoire.macm.org/kit/d-72-1-s-1/","figure-mythique"
"Hans Arp","D 88 138 S 1","Chapeau forêt","vers 1930","Sculpture","Bronze, 4/5","20 x 26 x 18 cm","Meudon-Val-Fleury, France","","Don de la Fondation Max et Iris Stern","Collection Musée d’art contemporain de Montréal","Art contemporain international","1988","","","","","Arp, Hans","Hans Arp","arp-hans","L’Œil et l’esprit : Point de vue de Geneviève Cadieux sur la Collection, 2015-04-02 → 2016-04-17 [Exposition – collection] | Une histoire de collections : Dons 1984-1989, 1989-04-12 → 1989-06-04 [Exposition – collection]","l-oeil-et-l-esprit-point-de-vue-de-genevieve-cadieux | une-histoire-de-collections-dons-1984-1989","Le Magazine du Musée d’art contemporain de Montréal, 2015 [Journal]","le-magazine-du-musee-d-art-contemporain-de-montreal_2015-1","https://macrepertoire.macm.org/kit/d-88-138-s-1/","chapeau-foret"
"Eugène Atget","A 78 78 PH 1","Cour de Rouen","1908","Photographie","Épreuve à la gélatine argentique","22,3 x 17,9 cm","Paris, France; Rouen, France","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1978","","","","","Atget, Eugène","Eugène Atget","atget-eugene","La Photographie de 1900 à 1950, 1978-08-03 → 1978-09-03 [Exposition – collection (itinérante)]","la-photographie-de-1900-a-1950","Territoires urbains, 2005 [Catalogue] | La photographie de 1900 à 1950, 1978 [Catalogue]","territoires-urbains | la-photographie-de-1900-a-1950","https://macrepertoire.macm.org/kit/a-78-78-ph-1/","cour-de-rouen"
